id,topic,difficulty,question,answer
1,Array,1,"Given an array [VALUES], what is the element at index 2?",The element at index 2 is [VALUE]. Remember that array indexing starts at 0 in most programming languages.
2,Array,1,What is the length of the array [VALUES]?,The length of the array is [LENGTH].
3,Array,1,Find the sum of all elements in the array [VALUES].,The sum of all elements is [SUM].
4,Array,1,Find the largest element in the array [VALUES].,The largest element in the array is [MAX].
5,Array,1,Find the smallest element in the array [VALUES].,The smallest element in the array is [MIN].
6,Array,1,"If we reverse the array [VALUES], what would be the result?",The reversed array would be [REVERSED].
7,Array,1,"Given the array [VALUES], what would be the result after sorting in ascending order?",The sorted array would be [SORTED].
8,Array,1,"Given the array [VALUES], calculate the average of all elements.",The average of all elements is [AVERAGE].
9,Array,1,"In the array [VALUES], how many elements are greater than 50?",Count each element greater than 50 to get the answer.
10,Array,1,"If we add 10 to each element in the array [VALUES], what would be the result?",Add 10 to each element: the result would be a new array with each element increased by 10.
11,Array,1,Find the first occurrence of the maximum element in array [VALUES].,The first occurrence of the maximum element [MAX] is at index [MAX_INDEX].
12,Array,1,"Given array [VALUES], find all even numbers.",The even numbers in the array are: [EVEN_NUMBERS].
13,Array,1,What is the product of the first three elements in array [VALUES]?,The product of the first three elements is [PRODUCT_FIRST_THREE].
14,Array,1,"Given array [VALUES], count how many elements are odd.",Count each odd element to get the total number of odd elements.
15,Array,1,Find the difference between the maximum and minimum elements in array [VALUES].,The difference between max ([MAX]) and min ([MIN]) is [DIFFERENCE].
16,Array,1,"Given array [VALUES], what is the sum of the first five elements?",Sum the first five elements of the array to get [SUM_FIRST_FIVE].
17,Array,1,"Given array [VALUES], what is the last element?",The last element is [LAST_ELEMENT].
18,Array,1,"Given array [VALUES], what is the index of the minimum element?",The index of the minimum element [MIN] is [MIN_INDEX].
19,Array,1,"Given array [VALUES], what is the result if you remove the first element?",Remove the first element to get [WITHOUT_FIRST].
20,Array,1,"Given array [VALUES], what is the result if you remove the last element?",Remove the last element to get [WITHOUT_LAST].
21,Array,1,"Given array [VALUES], what is the sum of all even elements?",Sum all even elements in the array to get [SUM_EVEN].
22,Array,1,"Given array [VALUES], what is the sum of all odd elements?",Sum all odd elements in the array to get [SUM_ODD].
23,Array,1,"Given array [VALUES], what is the average of the first three elements?",The average of the first three elements is [AVG_FIRST_THREE].
24,Array,1,"Given array [VALUES], what is the median value?",Sort the array and find the middle value(s): [MEDIAN].
25,Array,1,"Given array [VALUES], what is the mode (most frequent element)?",The mode of the array is [MODE].
26,Array,1,"Given array [VALUES], what is the result after doubling each element?",Double each element to get [DOUBLED].
27,Array,1,"Given array [VALUES], what is the result after squaring each element?",Square each element to get [SQUARED].
28,Array,1,"Given array [VALUES], what is the sum of elements at even indices?","Sum elements at indices 0, 2, 4, ... to get [SUM_EVEN_INDICES]."
29,Array,1,"Given array [VALUES], what is the sum of elements at odd indices?","Sum elements at indices 1, 3, 5, ... to get [SUM_ODD_INDICES]."
30,Array,1,"Given array [VALUES], what is the maximum difference between any two elements?",The maximum difference is [MAX_DIFF].
31,Array,1,"Given array [VALUES], what is the minimum positive element?",The minimum positive element is [MIN_POSITIVE].
32,Array,1,"Given array [VALUES], what is the result after removing all negative numbers?",Remove all negative numbers to get [NO_NEGATIVES].
33,Array,1,"Given array [VALUES], what is the result after removing all zeros?",Remove all zeros to get [NO_ZEROS].
34,Array,1,"Given array [VALUES], what is the sum of the largest and smallest elements?",Sum the largest ([MAX]) and smallest ([MIN]) elements to get [SUM_MAX_MIN].
35,Array,1,"Given array [VALUES], what is the result after inserting 100 at index 1?",Insert 100 at index 1 to get [INSERTED_100].
36,Array,1,"Given array [VALUES], what is the result after removing the element at index 3?",Remove the element at index 3 to get [REMOVED_INDEX_3].
37,Array,1,"Given array [VALUES], what is the sum of elements between indices 2 and 5 (inclusive)?",Sum elements from index 2 to 5 to get [SUM_2_5].
38,Array,1,"Given array [VALUES], what is the result after sorting in descending order?",Sort the array in descending order to get [SORTED_DESC].
39,Array,1,"Given array [VALUES], what is the result after rotating left by 1 position?",Rotate left by 1 to get [ROTATED_LEFT_1].
40,Array,1,"Given array [VALUES], what is the result after rotating right by 1 position?",Rotate right by 1 to get [ROTATED_RIGHT_1].
41,Array,1,"Given array [VALUES], what is the sum of the first and last elements?",Sum the first ([FIRST_ELEMENT]) and last ([LAST_ELEMENT]) elements to get [SUM_FIRST_LAST].
